split,source_session,image,label
train,_bee_20230609a,20230609a1002.jpg,20230609a1002.txt
train,_bee_20230609a,20230609a1008.jpg,20230609a1008.txt
train,_bee_20230609a,20230609a1014.jpg,20230609a1014.txt
train,_bee_20230609a,20230609a102.jpg,20230609a102.txt
train,_bee_20230609a,20230609a1020.jpg,20230609a1020.txt
train,_bee_20230609a,20230609a1026.jpg,20230609a1026.txt
train,_bee_20230609a,20230609a1032.jpg,20230609a1032.txt
train,_bee_20230609a,20230609a1038.jpg,20230609a1038.txt
train,_bee_20230609a,20230609a1044.jpg,20230609a1044.txt
train,_bee_20230609a,20230609a1050.jpg,20230609a1050.txt
train,_bee_20230609a,20230609a1056.jpg,20230609a1056.txt
train,_bee_20230609a,20230609a1062.jpg,20230609a1062.txt
train,_bee_20230609a,20230609a1068.jpg,20230609a1068.txt
train,_bee_20230609a,20230609a1074.jpg,20230609a1074.txt
train,_bee_20230609a,20230609a108.jpg,20230609a108.txt
train,_bee_20230609a,20230609a1080.jpg,20230609a1080.txt
train,_bee_20230609a,20230609a1086.jpg,20230609a1086.txt
train,_bee_20230609a,20230609a1092.jpg,20230609a1092.txt
train,_bee_20230609a,20230609a1098.jpg,20230609a1098.txt
train,_bee_20230609a,20230609a1104.jpg,20230609a1104.txt
train,_bee_20230609a,20230609a1110.jpg,20230609a1110.txt
train,_bee_20230609a,20230609a1116.jpg,20230609a1116.txt
train,_bee_20230609a,20230609a1122.jpg,20230609a1122.txt
train,_bee_20230609a,20230609a1128.jpg,20230609a1128.txt
train,_bee_20230609a,20230609a1134.jpg,20230609a1134.txt
train,_bee_20230609a,20230609a114.jpg,20230609a114.txt
train,_bee_20230609a,20230609a1140.jpg,20230609a1140.txt
train,_bee_20230609a,20230609a1146.jpg,20230609a1146.txt
train,_bee_20230609a,20230609a1152.jpg,20230609a1152.txt
train,_bee_20230609a,20230609a1158.jpg,20230609a1158.txt
train,_bee_20230609a,20230609a1164.jpg,20230609a1164.txt
train,_bee_20230609a,20230609a1170.jpg,20230609a1170.txt
train,_bee_20230609a,20230609a1176.jpg,20230609a1176.txt
train,_bee_20230609a,20230609a1182.jpg,20230609a1182.txt
train,_bee_20230609a,20230609a1188.jpg,20230609a1188.txt
train,_bee_20230609a,20230609a1194.jpg,20230609a1194.txt
train,_bee_20230609a,20230609a120.jpg,20230609a120.txt
train,_bee_20230609a,20230609a1200.jpg,20230609a1200.txt
train,_bee_20230609a,20230609a1206.jpg,20230609a1206.txt
train,_bee_20230609a,20230609a1212.jpg,20230609a1212.txt
train,_bee_20230609a,20230609a1218.jpg,20230609a1218.txt
train,_bee_20230609a,20230609a1224.jpg,20230609a1224.txt
train,_bee_20230609a,20230609a1230.jpg,20230609a1230.txt
train,_bee_20230609a,20230609a1236.jpg,20230609a1236.txt
train,_bee_20230609a,20230609a1242.jpg,20230609a1242.txt
train,_bee_20230609a,20230609a1248.jpg,20230609a1248.txt
train,_bee_20230609a,20230609a1254.jpg,20230609a1254.txt
train,_bee_20230609a,20230609a126.jpg,20230609a126.txt
train,_bee_20230609a,20230609a1260.jpg,20230609a1260.txt
train,_bee_20230609a,20230609a1266.jpg,20230609a1266.txt
train,_bee_20230609a,20230609a1272.jpg,20230609a1272.txt
train,_bee_20230609a,20230609a1278.jpg,20230609a1278.txt
train,_bee_20230609a,20230609a1284.jpg,20230609a1284.txt
train,_bee_20230609a,20230609a1290.jpg,20230609a1290.txt
train,_bee_20230609a,20230609a1296.jpg,20230609a1296.txt
train,_bee_20230609a,20230609a1302.jpg,20230609a1302.txt
train,_bee_20230609a,20230609a1308.jpg,20230609a1308.txt
train,_bee_20230609a,20230609a1314.jpg,20230609a1314.txt
train,_bee_20230609a,20230609a132.jpg,20230609a132.txt
train,_bee_20230609a,20230609a1320.jpg,20230609a1320.txt
train,_bee_20230609a,20230609a1326.jpg,20230609a1326.txt
train,_bee_20230609a,20230609a1332.jpg,20230609a1332.txt
train,_bee_20230609a,20230609a1338.jpg,20230609a1338.txt
train,_bee_20230609a,20230609a1344.jpg,20230609a1344.txt
train,_bee_20230609a,20230609a1350.jpg,20230609a1350.txt
train,_bee_20230609a,20230609a1356.jpg,20230609a1356.txt
train,_bee_20230609a,20230609a1362.jpg,20230609a1362.txt
train,_bee_20230609a,20230609a1368.jpg,20230609a1368.txt
train,_bee_20230609a,20230609a1374.jpg,20230609a1374.txt
train,_bee_20230609a,20230609a138.jpg,20230609a138.txt
train,_bee_20230609a,20230609a1380.jpg,20230609a1380.txt
train,_bee_20230609a,20230609a1386.jpg,20230609a1386.txt
train,_bee_20230609a,20230609a1392.jpg,20230609a1392.txt
train,_bee_20230609a,20230609a1398.jpg,20230609a1398.txt
train,_bee_20230609a,20230609a1404.jpg,20230609a1404.txt
train,_bee_20230609a,20230609a1410.jpg,20230609a1410.txt
train,_bee_20230609a,20230609a1416.jpg,20230609a1416.txt
train,_bee_20230609a,20230609a1422.jpg,20230609a1422.txt
train,_bee_20230609a,20230609a1428.jpg,20230609a1428.txt
train,_bee_20230609a,20230609a1434.jpg,20230609a1434.txt
train,_bee_20230609a,20230609a144.jpg,20230609a144.txt
train,_bee_20230609a,20230609a1440.jpg,20230609a1440.txt
train,_bee_20230609a,20230609a1446.jpg,20230609a1446.txt
train,_bee_20230609a,20230609a1452.jpg,20230609a1452.txt
train,_bee_20230609a,20230609a1458.jpg,20230609a1458.txt
train,_bee_20230609a,20230609a1464.jpg,20230609a1464.txt
train,_bee_20230609a,20230609a1470.jpg,20230609a1470.txt
train,_bee_20230609a,20230609a1476.jpg,20230609a1476.txt
train,_bee_20230609a,20230609a1482.jpg,20230609a1482.txt
train,_bee_20230609a,20230609a1488.jpg,20230609a1488.txt
train,_bee_20230609a,20230609a1494.jpg,20230609a1494.txt
train,_bee_20230609a,20230609a150.jpg,20230609a150.txt
train,_bee_20230609a,20230609a1500.jpg,20230609a1500.txt
train,_bee_20230609a,20230609a1506.jpg,20230609a1506.txt
train,_bee_20230609a,20230609a1512.jpg,20230609a1512.txt
train,_bee_20230609a,20230609a1518.jpg,20230609a1518.txt
train,_bee_20230609a,20230609a1524.jpg,20230609a1524.txt
train,_bee_20230609a,20230609a1530.jpg,20230609a1530.txt
train,_bee_20230609a,20230609a1536.jpg,20230609a1536.txt
train,_bee_20230609a,20230609a1542.jpg,20230609a1542.txt
train,_bee_20230609a,20230609a1548.jpg,20230609a1548.txt
train,_bee_20230609a,20230609a1554.jpg,20230609a1554.txt
train,_bee_20230609a,20230609a156.jpg,20230609a156.txt
train,_bee_20230609a,20230609a1560.jpg,20230609a1560.txt
train,_bee_20230609a,20230609a1566.jpg,20230609a1566.txt
train,_bee_20230609a,20230609a1572.jpg,20230609a1572.txt
train,_bee_20230609a,20230609a1578.jpg,20230609a1578.txt
train,_bee_20230609a,20230609a1584.jpg,20230609a1584.txt
train,_bee_20230609a,20230609a1590.jpg,20230609a1590.txt
train,_bee_20230609a,20230609a1596.jpg,20230609a1596.txt
train,_bee_20230609a,20230609a1602.jpg,20230609a1602.txt
train,_bee_20230609a,20230609a1608.jpg,20230609a1608.txt
train,_bee_20230609a,20230609a1614.jpg,20230609a1614.txt
train,_bee_20230609a,20230609a162.jpg,20230609a162.txt
train,_bee_20230609a,20230609a1620.jpg,20230609a1620.txt
train,_bee_20230609a,20230609a1626.jpg,20230609a1626.txt
train,_bee_20230609a,20230609a1632.jpg,20230609a1632.txt
train,_bee_20230609a,20230609a1638.jpg,20230609a1638.txt
train,_bee_20230609a,20230609a1644.jpg,20230609a1644.txt
train,_bee_20230609a,20230609a1650.jpg,20230609a1650.txt
train,_bee_20230609a,20230609a1656.jpg,20230609a1656.txt
train,_bee_20230609a,20230609a1662.jpg,20230609a1662.txt
train,_bee_20230609a,20230609a1668.jpg,20230609a1668.txt
train,_bee_20230609a,20230609a1674.jpg,20230609a1674.txt
train,_bee_20230609a,20230609a168.jpg,20230609a168.txt
train,_bee_20230609a,20230609a1680.jpg,20230609a1680.txt
train,_bee_20230609a,20230609a1686.jpg,20230609a1686.txt
train,_bee_20230609a,20230609a1692.jpg,20230609a1692.txt
train,_bee_20230609a,20230609a1698.jpg,20230609a1698.txt
train,_bee_20230609a,20230609a1704.jpg,20230609a1704.txt
train,_bee_20230609a,20230609a1710.jpg,20230609a1710.txt
train,_bee_20230609a,20230609a1716.jpg,20230609a1716.txt
train,_bee_20230609a,20230609a1722.jpg,20230609a1722.txt
train,_bee_20230609a,20230609a1728.jpg,20230609a1728.txt
train,_bee_20230609a,20230609a1734.jpg,20230609a1734.txt
train,_bee_20230609a,20230609a174.jpg,20230609a174.txt
train,_bee_20230609a,20230609a1740.jpg,20230609a1740.txt
train,_bee_20230609a,20230609a1746.jpg,20230609a1746.txt
train,_bee_20230609a,20230609a1752.jpg,20230609a1752.txt
train,_bee_20230609a,20230609a1758.jpg,20230609a1758.txt
train,_bee_20230609a,20230609a1764.jpg,20230609a1764.txt
train,_bee_20230609a,20230609a1770.jpg,20230609a1770.txt
train,_bee_20230609a,20230609a1776.jpg,20230609a1776.txt
