epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2673,1.21879,0.88053,0.89907,0.76685,0.6907,0.77354,0.46712,1.23055,1.64755,0.87477,0.000661836,0.000661836,0.000661836
2,185.016,1.11489,0.57928,0.86662,0.82688,0.79626,0.86039,0.60452,0.93071,1.52501,0.83227,0.00131206,0.00131206,0.00131206
3,279.071,1.08004,0.53804,0.86175,0.79263,0.79283,0.84351,0.57824,0.95568,0.88861,0.83256,0.00194579,0.00194579,0.00194579
4,372.673,1.06553,0.54176,0.85955,0.88551,0.78677,0.87275,0.6036,0.94681,0.86187,0.83394,0.00192575,0.00192575,0.00192575
5,465.544,1.03914,0.51599,0.85258,0.8595,0.81708,0.87648,0.59432,1.03654,0.68192,0.85185,0.001901,0.001901,0.001901
6,558.783,1.02235,0.50857,0.84963,0.92969,0.83171,0.89604,0.63277,0.87925,0.56322,0.82704,0.00187625,0.00187625,0.00187625
7,652.247,0.99826,0.49937,0.84438,0.88145,0.85276,0.8964,0.63642,0.92154,0.62364,0.83111,0.0018515,0.0018515,0.0018515
8,745.99,0.98785,0.48022,0.84776,0.92034,0.83286,0.91223,0.65121,0.88052,0.59329,0.82332,0.00182675,0.00182675,0.00182675
9,839.445,0.97312,0.47049,0.84358,0.91137,0.81686,0.89349,0.63571,0.87159,0.60147,0.82376,0.001802,0.001802,0.001802
10,932.436,0.9618,0.46558,0.83913,0.88198,0.84765,0.89718,0.65475,0.84119,0.60789,0.82105,0.00177725,0.00177725,0.00177725
11,1025.92,0.95943,0.46168,0.84055,0.95172,0.85381,0.91631,0.65418,0.87501,0.4913,0.82474,0.0017525,0.0017525,0.0017525
12,1118.85,0.93935,0.44637,0.83743,0.94967,0.85977,0.92608,0.67718,0.80995,0.49023,0.81202,0.00172775,0.00172775,0.00172775
13,1212.2,0.9301,0.44236,0.83811,0.90964,0.8424,0.91055,0.66577,0.81292,0.51683,0.81608,0.001703,0.001703,0.001703
14,1304.46,0.9251,0.44518,0.83575,0.88334,0.84856,0.89795,0.64814,0.86506,0.57475,0.82461,0.00167825,0.00167825,0.00167825
15,1396.91,0.91825,0.43232,0.83739,0.86111,0.86132,0.89249,0.65217,0.84564,0.66446,0.81568,0.0016535,0.0016535,0.0016535
16,1489.19,0.913,0.43405,0.83328,0.86496,0.87237,0.89581,0.64998,0.85625,0.62345,0.8203,0.00162875,0.00162875,0.00162875
17,1581.83,0.89906,0.42685,0.83239,0.92509,0.83778,0.90769,0.67118,0.7915,0.50522,0.81215,0.001604,0.001604,0.001604
18,1673.87,0.90491,0.42839,0.83267,0.92902,0.86663,0.92158,0.683,0.78122,0.48021,0.8107,0.00157925,0.00157925,0.00157925
19,1766.88,0.88859,0.41873,0.83321,0.88635,0.7997,0.86784,0.63583,0.82467,0.64557,0.81978,0.0015545,0.0015545,0.0015545
20,1859.52,0.89073,0.42067,0.83261,0.90312,0.86391,0.91151,0.67682,0.77639,0.50849,0.80944,0.00152975,0.00152975,0.00152975
21,1951.95,0.87728,0.41332,0.82888,0.86935,0.87087,0.90092,0.66734,0.81259,0.59993,0.81325,0.001505,0.001505,0.001505
22,2044.88,0.88382,0.41209,0.83056,0.93107,0.85967,0.92067,0.68038,0.79304,0.49411,0.81199,0.00148025,0.00148025,0.00148025
23,2137.06,0.86685,0.40362,0.82992,0.94357,0.88814,0.9351,0.69681,0.76832,0.47038,0.80728,0.0014555,0.0014555,0.0014555
24,2230.61,0.86278,0.40404,0.82807,0.89436,0.87694,0.91968,0.67707,0.82405,0.5275,0.81533,0.00143075,0.00143075,0.00143075
25,2323.23,0.86691,0.40395,0.82567,0.873,0.86683,0.89853,0.65563,0.82527,0.62262,0.81645,0.001406,0.001406,0.001406
26,2415.83,0.86395,0.39956,0.82585,0.92103,0.83261,0.91318,0.67225,0.82246,0.53388,0.81697,0.00138125,0.00138125,0.00138125
27,2508.88,0.85565,0.39698,0.8257,0.91154,0.83231,0.91309,0.6814,0.77183,0.58074,0.80846,0.0013565,0.0013565,0.0013565
28,2601.97,0.8535,0.39734,0.82528,0.92674,0.8685,0.91978,0.68313,0.78321,0.48574,0.80936,0.00133175,0.00133175,0.00133175
29,2695.4,0.85038,0.3918,0.82363,0.95588,0.86694,0.92514,0.69065,0.75234,0.4555,0.80628,0.001307,0.001307,0.001307
30,2788.03,0.84597,0.39089,0.82716,0.91353,0.8725,0.91859,0.68727,0.78002,0.49721,0.81111,0.00128225,0.00128225,0.00128225
31,2880.42,0.84201,0.38633,0.8248,0.89702,0.8741,0.92181,0.68656,0.77897,0.55354,0.8108,0.0012575,0.0012575,0.0012575
32,2973.46,0.83728,0.38696,0.82391,0.94503,0.88164,0.9294,0.69689,0.75906,0.43711,0.80585,0.00123275,0.00123275,0.00123275
33,3066.37,0.83945,0.38727,0.82236,0.8914,0.88585,0.92186,0.68411,0.78585,0.51537,0.81026,0.001208,0.001208,0.001208
34,3159.51,0.83495,0.38601,0.82289,0.9316,0.87183,0.92836,0.69087,0.7773,0.46293,0.8084,0.00118325,0.00118325,0.00118325
35,3251.95,0.83682,0.38673,0.82374,0.85984,0.8636,0.90456,0.67375,0.78218,0.59626,0.81134,0.0011585,0.0011585,0.0011585
36,3345.25,0.81915,0.37536,0.82053,0.95751,0.8736,0.93666,0.70568,0.73956,0.41551,0.80302,0.00113375,0.00113375,0.00113375
37,3437.8,0.82691,0.37819,0.82117,0.88726,0.85916,0.91637,0.69082,0.74441,0.50385,0.80584,0.001109,0.001109,0.001109
38,3530.88,0.82419,0.37688,0.82002,0.87316,0.87582,0.92174,0.69014,0.76052,0.54216,0.80709,0.00108425,0.00108425,0.00108425
39,3622.93,0.81854,0.37887,0.82022,0.92089,0.8485,0.91932,0.68732,0.77019,0.46226,0.80988,0.0010595,0.0010595,0.0010595
40,3715.52,0.81765,0.37303,0.8196,0.93196,0.85835,0.92765,0.69808,0.75206,0.46663,0.80722,0.00103475,0.00103475,0.00103475
41,3808.82,0.81682,0.37948,0.81961,0.90134,0.86996,0.92661,0.6985,0.74377,0.50663,0.80423,0.00101,0.00101,0.00101
42,3901.77,0.81233,0.37104,0.81947,0.91752,0.86707,0.92733,0.70085,0.74008,0.48219,0.80437,0.00098525,0.00098525,0.00098525
43,3994.27,0.80987,0.3706,0.81745,0.93381,0.85038,0.92374,0.69543,0.74653,0.47944,0.80512,0.0009605,0.0009605,0.0009605
44,4086.93,0.80223,0.36726,0.81669,0.86817,0.88363,0.9096,0.68973,0.73489,0.58049,0.80384,0.00093575,0.00093575,0.00093575
45,4180.75,0.80267,0.36295,0.81843,0.92576,0.86243,0.92546,0.7022,0.72751,0.49089,0.80223,0.000911,0.000911,0.000911
46,4272.82,0.80703,0.36853,0.81774,0.91594,0.87897,0.92597,0.69827,0.74781,0.48021,0.80559,0.00088625,0.00088625,0.00088625
